

//++************** Deployment Settings ***************
// Firmware version: 	v4.1.4 MpHOx revB
// Sampling period (s)	600
// Samples hour align:	Yes
// Vrsi sps,trials: 	20, 10
// Vrse sps,trials: 	20, 10
// Vtherm sps,trials	20, 5
// Ik sps, trials:	20, 1
// Vk sps, trials:	20, 5
// Ib sps, trials:	20, 1
// Vb sps, trials:	20, 5
// Vbias sps,trials: 	40, 1
// Pump start delay: 	0
// Pump seq type:	PUMP_SINGLE
// Pump on time (s):	10
// Low battery voltage:	10.0
// Output mode:	Normal
// Deploy time:	2023/01/30 23:52:36
// Time zone: 	Local
// TCOffset:	0.000000
// k0int:	-0.400000
// k0ext:	-1.300000
// k2int:	-0.001455
// k2ext:	-0.001081
// Def Sal (ppt):	35.000000
// Offset Ik: 	0.000000
// Offset Ib: 	0.000000
// S-H c0	340.981986
// S-H c1	-0.000091
// S-H c2	-95.088067
// S-H c3	0.965370
// Version Info: 	v4.1.4 MpHOx revB
// File name:	01302023.txt
// User initials: 	JKW
// Board SN:	A001030
// MCAP SN: 	D000042
// DuraFET SN: 	DSD172
// Optode SN:	1911
// CTD SN:	NA
// Pump1 SN:	NA
// Pump2 SN:	NA
// Package name:	mpHOx001
// Fab Note:	2020 R30 installed, unipolar bias
// Deploy note:	FT for k0 alongside CANARY
// MicroSD Logging:	1
// Uart Echo:	1
// App Exec:	0
// A -- Sample Num= 1
// B -- MM/DD/YYYY HH:MM:SS= 1
// C -- Battery Volt = 1
// D -- Bias Battery Pos= 1
// E -- Bias Battery Neg= 0
// F -- Board Temperature= 1
// G -- Board Humidity= 1
// H -- Vthermistor= 1
//Vtermistor Std= 1
// I -- Temperature Calc= 1
// J -- Vrsi (Int Ref pH volt)= 0
//Vrsi Std= 0
// K -- pH Vrsi Calc = 0
// L -- Vrse (Ext Ref pH volt)= 1
//Vrse Std= 1
// M -- pH Vrse Calc = 1
// N -- Vrsi Biased (7pH=0v)= 0
// O -- Vrsi Biased Std = 0
// P -- Vrse Biased (7pH=0v)= 0
// Q -- Vrse Biased Std = 0
// R -- Counter Electrode Vk= 1
//Counter Electrode Vk Std = 1
// T -- Counter Electrode Cur Ik = 1
// U -- Substrate Current= 1
// V -- Optode = 1
// W -- Conductivity = 1,SBE37 MicroCat
// X -- OCR-504= 0
//--**************************************************


SampNum	Sample_Time	VbatMain	VbiasPos	 TC_cont	Humidity	Vtherm	VthrmStd	 TC_Dfet	 Vrse	Vrse_std	pHextEst	Vk	Vk_std	Ik	Ib	Opt_PN	Opt_SN	Moxy	O2satper	TC_opt	Dphase	Bphase	Rphase	Bamp	Bpot	Ramp	Opt_rawtemp	TC_MCat	Cond	Pres	pSal	Date_MC	Time_MC
#0000003	01/31/2023 00:20:00	10.58	3.63	18.01	53	0.248454	0.000374	67.417	-0.931128	0.000013	3.628	-0.807845	0.000083	-13.61	-1.990	5730	1914	295.612	92.593	14.373	30.986	31.735	38.716	6.981	815.3	652.0	404.1	13.5569	3.93825	 0.259	33.0075	 31 Jan 2023	 00:22:25
#0000004	01/31/2023 00:30:00	10.55	3.63	16.21	53	0.238030	0.000376	68.738	-0.930390	0.000008	3.632	-0.806049	0.000130	-12.91	-1.902	5730	1914	293.850	91.311	14.010	31.205	31.954	39.017	7.063	812.2	659.4	415.9	13.5543	3.93649	 0.257	32.9933	 31 Jan 2023	 00:32:25
#0000005	01/31/2023 00:40:00	10.54	3.63	15.43	54	0.239448	0.000375	68.555	-0.930801	0.000013	3.626	-0.805318	0.000336	-15.69	-1.910	5730	1914	289.059	89.436	13.814	31.472	32.221	39.333	7.112	818.4	666.4	422.2	13.5399	3.93497	 0.257	32.9916	 31 Jan 2023	 00:42:25
#0000006	01/31/2023 00:50:00	10.55	3.63	15.18	54	0.256093	0.000376	66.486	-0.931284	0.000009	3.628	-0.805318	0.000182	-8.66	-1.954	5730	1914	286.568	88.433	13.696	31.621	32.370	39.477	7.107	828.9	673.6	426.1	13.5422	3.93527	 0.258	32.9924	 31 Jan 2023	 00:52:25
#0000007	01/31/2023 01:00:00	10.55	3.62	14.92	54	0.260149	0.000376	66.003	-0.931880	0.000010	3.623	-0.805547	0.000182	-6.10	-1.949	5730	1914	285.594	88.009	13.632	31.686	32.435	39.528	7.092	831.7	677.3	428.1	13.5449	3.93559	 0.260	32.9930	 31 Jan 2023	 01:02:25
#0000008	01/31/2023 01:10:00	10.55	3.62	14.79	54	0.253488	0.000378	66.800	-0.932464	0.000009	3.614	-0.805795	0.000106	-11.34	-1.995	5730	1914	285.127	87.791	13.594	31.721	32.470	39.544	7.073	833.5	679.7	429.3	13.5445	3.93559	 0.261	32.9935	 31 Jan 2023	 01:12:25
#0000009	01/31/2023 01:20:00	10.54	3.62	14.40	54	0.258466	0.000376	66.202	-0.932997	0.000009	3.609	-0.806207	0.000049	-10.14	-1.957	5730	1914	284.419	87.530	13.572	31.759	32.508	39.551	7.043	835.1	681.2	430.1	13.5482	3.93600	 0.262	32.9940	 31 Jan 2023	 01:22:25
#0000010	01/31/2023 01:30:00	10.54	3.62	14.53	54	0.253156	0.000382	66.840	-0.933522	0.000007	3.601	-0.806530	0.000051	-9.64	-1.963	5730	1914	284.028	87.371	13.552	31.783	32.532	39.552	7.020	836.4	682.3	430.7	13.5434	3.93556	 0.263	32.9941	 31 Jan 2023	 01:32:25
#0000011	01/31/2023 01:40:00	10.52	3.62	14.40	54	0.242767	0.000381	68.131	-0.934001	0.000005	3.589	-0.806744	0.000060	-5.62	-1.998	5730	1914	283.433	87.157	13.536	31.814	32.563	39.563	7.001	837.6	683.1	431.2	13.5376	3.93507	 0.263	32.9944	 31 Jan 2023	 01:42:25
#0000012	01/31/2023 01:50:00	10.53	3.62	14.40	54	0.242772	0.000384	68.130	-0.934496	0.000010	3.582	-0.807000	0.000083	-14.79	-1.953	5730	1914	282.988	86.976	13.513	31.841	32.590	39.571	6.981	838.8	683.7	432.0	13.5188	3.93373	 0.263	32.9982	 31 Jan 2023	 01:52:25
#0000013	01/31/2023 02:00:00	10.53	3.62	14.27	54	0.244224	0.000384	67.946	-0.934920	0.000011	3.576	-0.807158	0.000060	-10.90	-1.931	5730	1914	281.389	86.290	13.412	31.950	32.699	39.657	6.958	842.8	684.1	435.3	13.4010	3.92525	 0.263	33.0207	 31 Jan 2023	 02:02:25
#0000014	01/31/2023 02:10:00	10.52	3.62	14.14	54	0.255038	0.000380	66.613	-0.935432	0.000008	3.574	-0.807327	0.000041	-11.96	-1.934	5730	1914	277.865	85.133	13.372	32.111	32.860	39.809	6.948	848.6	684.7	436.5	13.3716	3.92274	 0.264	33.0227	 31 Jan 2023	 02:12:25
#0000015	01/31/2023 02:20:00	10.53	3.62	14.14	54	0.255904	0.000382	66.508	-0.935870	0.000009	3.571	-0.807455	0.000043	-8.27	-1.893	5730	1914	276.555	84.700	13.355	32.172	32.921	39.857	6.936	850.8	685.2	437.1	13.3675	3.92234	 0.266	33.0225	 31 Jan 2023	 02:22:25
#0000016	01/31/2023 02:30:00	10.52	3.62	14.02	54	0.247307	0.000381	67.560	-0.936330	0.000007	3.564	-0.807639	0.000034	-7.93	-1.932	5730	1914	276.296	84.603	13.345	32.187	32.936	39.865	6.929	851.8	685.8	437.4	13.3665	3.92227	 0.268	33.0228	 31 Jan 2023	 02:32:25
