

//++************** Deployment Settings ***************
// Firmware version: 	v4.1.1 MpHOx revB
// Sampling period (s)	30
// Samples hour align:	Yes
// Vrsi sps,trials: 	20, 10
// Vrse sps,trials: 	20, 10
// Vtherm sps,trials	20, 5
// Ik sps, trials:   	20, 1
// Vk sps, trials:   	20, 5
// Ib sps, trials:   	20, 1
// Vb sps, trials:   	20, 5
// Vbias sps,trials: 	40, 1
// Pump on time (s):	0
// Low battery voltage:	6.5
// Output mode:        	Normal
// Deploy time:   	2022/06/22 00:12:10
// Time zone:       	GMT
// TCOffset:     	0.000000
// k0int:        	-0.400000
// k0ext:        	-1.300000
// k2int:        	-0.001455
// k2ext:        	-0.001081
// Def Sal (ppt):	35.000000
// Offset Ik:    	0.000000
// Offset Ib:    	0.000000
// S-H c0        	340.981986
// S-H c1        	-0.000091
// S-H c2        	-95.088067
// S-H c3        	0.965370
// Version Info: 	v4.1.1 MpHOx revB
// File name:     	YODA22_1.txt
// User initials: 	yt
// Board SN:      	A001030
// MCAP SN:       	D000042
// DuraFET SN:    	GDF
// Optode SN:     	CHECK ON NEXT DISASSEM
// CTD SN:        	NA
// Pump1 SN:      	05 10677
// Pump2 SN:      	na
// Package name:  	MpHOx001
// Fab Note:      	2021_R30 installed, single input bias
// Deploy note:   	YODA22 mpHOx
// A -- Sample Num               = 1
// B -- MM/DD/YYYY HH:MM:SS      = 1
// C -- Battery Volt             = 1
// D -- Bias Battery Pos         = 1
// E -- Bias Battery Neg         = 1
// F -- Board Temperature        = 1
// G -- Board Humidity           = 1
// H -- Vthermistor              = 0
//      Vtermistor Std           = 0
// I -- Temperature Calc         = 0
// J -- Vrsi (Int Ref pH volt)   = 0
//      Vrsi Std                 = 0
// K -- pH Vrsi Calc             = 0
// L -- Vrse (Ext Ref pH volt)   = 1
//      Vrse Std                 = 1
// M -- pH Vrse Calc             = 0
// N -- Vrsi Biased (7pH=0v)     = 0
// O -- Vrsi Biased Std          = 0
// P -- Vrse Biased (7pH=0v)     = 0
// Q -- Vrse Biased Std          = 0
// R -- Counter Electrode Vk     = 1
//      Counter Electrode Vk Std = 1
// T -- Counter Electrode Cur Ik = 1
// U -- Substrate Current        = 1
// V -- Optode                   = 1
// W -- Conductivity             = 1,  SBE37 MicroCat
// X -- OCR-504                  = 0
//--**************************************************


 SampNum	     MM/DD/YYYY HH:MM:SS	VbatMain	VbiasPos	VbiasNeg	 TC_cont	Humidity	    Vrse	Vrse_std	      Vk	  Vk_std	      Ik	      Ib	Opt_PN	Opt_SN	Moxy	O2satper	TC_opt	Dphase	Bphase	Rphase	Bamp	Bpot	Ramp	Opt_rawtemp	TC_MCat	Cond	pSal	Pres	Date_MC	Time_MC
#0000000	06/22/2022 00:12:17	   10.54	    3.63	   -3.57	   23.43	      27	-1.067506	0.000007	-0.960486	0.000006	   21.09	  -2.265	5730	1914	256.384	94.066	22.079	29.575	30.324	37.569	7.244	686.3	633.8	151.0	  21.0628	  0.00001	   -0.111	   0.0105	 22 Jun 2022	 00:12:16
#0000001	06/22/2022 00:12:30	   10.53	    3.63	   -3.57	   23.55	      27	-1.067426	0.000006	-0.960409	0.000010	   20.57	  -2.253	5730	1914	256.451	94.094	22.080	29.572	30.321	37.577	7.256	686.2	633.2	150.9	  20.8767	  0.00001	   -0.112	   0.0105	 22 Jun 2022	 00:12:29
#0000002	06/22/2022 00:13:00	   10.54	    3.63	   -3.57	   23.68	      27	-1.067463	0.000005	-0.960430	0.000008	   21.21	  -2.260	5730	1914	256.437	94.100	22.087	29.570	30.319	37.589	7.270	686.2	633.1	150.7	  20.8531	  0.00001	   -0.111	   0.0105	 22 Jun 2022	 00:12:59
#0000003	06/22/2022 00:13:30	   10.56	    3.63	   -3.58	   23.43	      27	-1.067489	0.000005	-0.960460	0.000006	   21.57	  -2.267	5730	1914	256.272	94.054	22.094	29.574	30.323	37.601	7.278	686.0	632.8	150.4	  21.2803	  0.00001	   -0.111	   0.0106	 22 Jun 2022	 00:13:29
#0000004	06/22/2022 00:14:00	   10.56	    3.63	   -3.58	   22.91	      27	-1.067479	0.000009	-0.960469	0.000004	   22.23	  -2.268	5730	1914	256.370	94.105	22.103	29.567	30.316	37.606	7.290	686.0	632.6	150.2	  21.4926	  0.00001	   -0.111	   0.0107	 22 Jun 2022	 00:13:59
#0000005	06/22/2022 00:14:30	   10.60	    3.63	   -3.57	   23.81	      27	-1.067420	0.000008	-0.960397	0.000013	   21.60	  -2.294	5730	1914	256.283	94.089	22.111	29.568	30.317	37.612	7.295	685.9	632.4	149.9	  21.3255	  0.00001	   -0.112	   0.0106	 22 Jun 2022	 00:14:29
#0000006	06/22/2022 00:15:00	   10.58	    3.63	   -3.58	   23.30	      27	-1.067459	0.000007	-0.960434	0.000008	   22.05	  -2.275	5730	1914	256.291	94.107	22.120	29.564	30.313	37.614	7.301	685.8	632.3	149.6	  21.3168	  0.00001	   -0.113	   0.0107	 22 Jun 2022	 00:14:59
#0000007	06/22/2022 00:15:30	   10.55	    3.63	   -3.58	   23.43	      27	-1.067455	0.000005	-0.960431	0.000011	   21.37	  -2.264	5730	1914	256.169	94.078	22.129	29.566	30.315	37.625	7.309	685.8	632.1	149.3	  21.4112	  0.00001	   -0.112	   0.0107	 22 Jun 2022	 00:15:29
#0000008	06/22/2022 00:16:00	   10.55	    3.63	   -3.58	   23.30	      27	-1.017064	0.000366	-0.928740	0.000086	   -7.11	  -1.648	5730	1914	330.358	105.386	15.216	29.421	30.170	37.484	7.314	680.4	629.7	376.6	  21.1705	  4.04780	   -0.112	  28.1991	 22 Jun 2022	 00:15:59
#0000009	06/22/2022 00:16:30	   10.56	    3.63	   -3.57	   23.43	      27	-0.972971	0.000153	-0.896264	0.000056	   -7.00	  -1.573	5730	1914	412.981	127.825	13.831	27.608	28.357	35.675	7.318	622.3	628.8	421.7	  21.1979	  4.01113	   -0.112	  27.8974	 22 Jun 2022	 00:16:29
